pick up|поднять / заехать за|nhặt lên / đón
mix up with|перепутать с|nhầm với
mop up|вытереть|lau sạch
mount up|накопиться|chất cao
move away|уехать|chuyển đi
move over|подвинуться|nhích ra
mull over|обдумывать|suy nghĩ
muscle in|влезть силой|xen vào
nail down|уточнить|chốt lại
narrow down to|сузить до|thu hẹp còn
nod off to sleep|задремать|gật ngủ
nose around|совать нос|đánh hơi
note down a number|записать номер|ghi số
object to|возражать|phản đối
occur to|прийти в голову|nảy ra trong đầu
open onto|выходить на|mở ra
opt out|отказаться|từ chối tham gia
own up about|признаться о|thú nhận về
pack off|отправить|đuổi đi
pair off|разбиться на пары|kết đôi
palm off|всучить|đẩy đi
pan out|сложиться удачно|suôn sẻ
part with|расстаться с|chia tay
pass off|сойти / пройти|qua đi
pass out leaflets|раздавать листовки|phát tờ rơi
pass up|упустить шанс|bỏ lỡ cơ hội
patch up|залатать / помириться|vá / làm lành
pay back money|вернуть деньги|trả tiền
pay off a debt|погасить долг|trả hết nợ
peck at|клевать|ăn từng miếng
peel off|содрать|bóc ra
peg away|упорно трудиться|cày đều
pencil in|наметить предварительно|ghi tạm
perk up|оживиться|tươi tỉnh
peter out|сойти на нет|teo dần
phase in|вводить постепенно|đưa vào dần
pick off|снимать по одному|bắn hạ từng người
pick up the phone|снять трубку|nhấc máy
pile on|навалиться|đổ thêm
pin on|приписать|đổ lỗi
pipe down|затихнуть|im đi
pitch in|внести лепту|góp sức
plan on|собираться|dự định
play along|подыграть|chiều theo
play at|делать вид|giả vờ
play back|воспроизвести|phát lại
plough through|осилить|cày qua
plug away|упорно работать|kiên trì làm
point out a mistake|указать на ошибку|chỉ ra lỗi
polish up|отшлифовать|trau chuốt
pop out|выскочить|nhô ra
pore over|корпеть над|nghiền ngẫm
portion out|разделить на порции|chia phần
pounce on|наброситься|vồ lấy
press ahead|продолжать несмотря ни на что|tiếp tục bất chấp
print out|распечатать|in ra
prop up|подпереть|chống đỡ
pull apart|разорвать|kéo rách
pull in|прибыть / привлечь|đến nơi / thu hút
pull out of|выйти из|rút khỏi
pull together|собраться|đoàn kết
push around|помыкать|bắt nạt
push on|продолжать путь|đi tiếp
push over|опрокинуть|đẩy ngã
put down to|приписать|cho là do
put in for|подать заявку|nộp đơn xin
put off a guest|оттолкнуть гостя|làm khách cụt hứng
put on a show|устроить представление|diễn
put out feelers|прощупать почву|dò hỏi
put up for sale|выставить на продажу|rao bán
puzzle out|разгадать|giải được
quiet down|утихнуть|im dần
rack up|набрать|tích lũy
rake in|грести деньги|hốt bạc
rake up|ворошить прошлое|khơi lại
ramp up|нарастить|tăng tốc
rap out|отчеканить|nói gọn
rat on|донести|mách
rattle off|выпалить|nói một mạch
reach for|потянуться за|với lấy
read into|вчитывать|hiểu quá
reason with|урезонить|khuyên nhủ
reckon on|рассчитывать|trông vào
reel off|выпалить список|kể một hơi
rein in|сдержать|kiềm lại
render down|вытопить|nấu lấy
ride out|пережить|vượt qua
ring off|повесить трубку|cúp máy
rip up|разорвать|xé vụn
roll back|откатить|lùi lại
roll in|прибывать в большом числе|ùa đến
roll over|перевернуться|lăn qua
root for|болеть за|cổ vũ
root out|искоренить|nhổ tận gốc
rope in|втянуть|lôi vào
rough out|набросать|phác thảo
round off|закруглить|kết thúc tròn
round up|округлить / собрать|làm tròn / tập hợp
rub in|втирать / тыкать носом|xát vào / nhắc mãi
rule out a possibility|исключить возможность|loại khả năng
run for|баллотироваться|tranh cử
run into debt|влезть в долги|mắc nợ
run off|сбежать / отпечатать|bỏ chạy / in ra
run out|кончиться|hết sạch
run through a list|пробежать список|điểm danh
rush into|броситься в|lao vào
saddle with|взвалить|trút lên
sail through|легко пройти|vượt dễ dàng
save up for|копить на|dành dụm để
scale down|сократить масштаб|thu nhỏ
scare away|распугать|dọa đi
scoop up|подхватить|hốt lên
score out|вычеркнуть|gạch bỏ
scout around|поискать|lục tìm
scrape together|наскрести|góp nhặt
screen off|отгородить|ngăn lại
screw on|навинтить|vặn vào
seal off|оцеплять|phong tỏa
search for|искать|tìm kiếm
see into|разобраться в|nhìn vào
see out|проводить до конца|ở đến hết
seek out|разыскать|tìm cho ra
sell off|распродать|bán tháo
send in|представить|gửi vào
send on|переслать|chuyển tiếp
send out|разослать|gửi đi
serve up|подать на стол|dọn ra
set down in writing|записать|ghi thành văn
set in motion|запустить|khởi động
set off a alarm|включить сигнализацию|kích hoạt báo động
set out for|отправиться в|lên đường đến
settle on|остановиться на|chốt chọn
settle up|рассчитаться|thanh toán
shake up|встряхнуть|chấn chỉnh
shell out|выложить деньги|chi tiền
ship off|отправить|gửi đi
shoot down|сбить / раскритиковать|bắn hạ / bác bỏ
shop for|ходить за покупками|đi mua
shout down|перекричать|át tiếng
show in|провести внутрь|dẫn vào
show out|проводить к выходу|tiễn ra
shrug off a loss|отмахнуться от потери|bỏ qua thiệt hại
shut off|отключить|ngắt
shut up shop|закрыть лавочку|đóng cửa
side with|встать на сторону|về phe
sift through|просеять|sàng lọc
sign away|отказаться подписью|ký nhượng
sign for|расписаться в получении|ký nhận
sign off|закончить передачу|kết thúc
sign over|переписать на|sang tên
simmer down|остыть|bình tĩnh lại
single out for praise|выделить похвалой|khen riêng
sink in slowly|постепенно доходить|thấm dần
sit back|откинуться|ngồi dựa
sit for|позировать / сдавать экзамен|ngồi mẫu / thi
sit in on|присутствовать на|dự thính
sit on|зажимать / заседать|ghìm lại / ngồi trong
sit through|высидеть|ngồi hết
sit up|приподняться / не спать|ngồi dậy / thức
size up|оценить взглядом|đánh giá
sketch out|набросать|phác họa
skim through|просмотреть бегло|đọc lướt
slack off|сачковать|lơ là
slap on|налепить|dán vào
sleep off|отоспаться|ngủ cho qua
sleep on|переспать с мыслью|nghĩ qua đêm
slice off|отрезать|cắt lát
slip away|ускользнуть|lẻn đi
slip on|накинуть|mặc vội
slip out|выскользнуть / проговориться|lẻn ra / lỡ lời
slow up|замедлиться|chậm lại
smash in|высадить|đập vào
smell out|вынюхать|đánh hơi ra
smooth over|загладить|xoa dịu
snap at|огрызнуться|gắt
snap out of|выбраться из состояния|thoát khỏi
snap up a bargain|урвать выгодное|chộp món hời
sniff out|вынюхать|đánh hơi
snow under|завалить работой|ngập việc
soak up|впитывать|hấp thụ
sober up|протрезветь|tỉnh rượu
soldier on|продолжать несмотря ни на что|kiên trì
sort out a problem|решить проблему|giải quyết vấn đề
sound out|прощупать|dò ý
space out|расставить / отключиться|giãn ra / lơ đãng
speak for|говорить от имени|nói thay
speak of|говорить о|nói về
speed up a process|ускорить процесс|tăng tốc quá trình
spell out the rules|разъяснить правила|nói rõ quy tắc
spill out|выплеснуться|tràn ra
spin off|выделиться в отдельное|tách ra
spirit away|умыкнуть|cuỗm đi
splash out on|разориться на|chi mạnh cho
split up with|расстаться с|chia tay với
sponge off|жить за чужой счёт|ăn bám
spread out a map|разложить карту|trải bản đồ
spring from|происходить из|bắt nguồn
spur on|подстёгивать|thúc đẩy
spy on|шпионить|do thám
square up|рассчитаться|thanh toán
stack up against|выдерживать сравнение|so được với
stamp out a fire|затоптать огонь|dập lửa
stand about|стоять без дела|đứng không
stand for election|баллотироваться|ra tranh cử
stand out from|выделяться среди|nổi bật giữa
stand up for|заступиться за|bảo vệ
stand up to|выдержать / дать отпор|chịu đựng / chống lại
start over|начать сначала|làm lại từ đầu
stash away|припрятать|giấu đi
stay away|держаться подальше|tránh xa
stay over|переночевать|ở lại qua đêm
stay up late|засидеться допоздна|thức khuya
steal away|незаметно уйти|lẻn đi
step aside|отойти в сторону|tránh sang
step in for|заменить|thay thế
step on|наступить|giẫm lên
step out|выйти ненадолго|ra ngoài một lát
stick around|остаться|ở lại
stick by|остаться верным|ở bên
stick out for|настаивать на|đòi cho được
stick to a plan|держаться плана|giữ đúng kế hoạch
stick up|торчать|thò lên
stir in|вмешать|khuấy vào
stock up|запастись|tích trữ
stop over in|сделать остановку в|quá cảnh ở
store away|убрать на хранение|cất giữ
storm out|выскочить в гневе|hậm hực bỏ đi
straighten out|уладить|chỉnh lại
strike back|нанести ответный удар|đánh trả
strike up|завязать|bắt đầu
string along|водить за нос|dụ dỗ
strip off|раздеться|cởi bỏ
stub out|затушить|dập tắt
stuff up|забить / провалить|nhét kín / làm hỏng
stumble on|наткнуться|tình cờ thấy
subject to|подвергать|đưa vào
subscribe to|подписаться|đăng ký
suck up|подлизываться|nịnh bợ
sum up the talk|подвести итог беседы|tóm tắt cuộc nói
summon up|призвать / собраться с|gợi lên / lấy hết
surge in|хлынуть|ùa vào
swear by|клясться / доверять|thề / tin dùng
swear in|привести к присяге|tuyên thệ
sweep aside|отмести|gạt bỏ
sweep up|подмести|quét dọn
swell up|опухнуть|sưng lên
switch off the light|выключить свет|tắt đèn
swot up|зубрить|học gạo
tag along|увязаться|đi ké
tail off|сойти на нет|nhỏ dần
take after a parent|быть похожим на родителя|giống bố mẹ
take apart a machine|разобрать машину|tháo máy
take away from|убавлять|làm giảm
take back a remark|взять слова назад|rút lại lời nói
take down a note|записать заметку|ghi chú
take in a lodger|пустить жильца|cho ở trọ
take off from work|взять отгул|nghỉ làm
take on a job|взяться за работу|nhận việc
take out a loan|взять кредит|vay tiền
take over a company|поглотить компанию|thâu tóm công ty
take to someone's idea|проникнуться идеей|thích ý tưởng
take up a hobby|заняться хобби|theo đuổi sở thích
talk down|говорить свысока|nói khinh
talk over a problem|обсудить проблему|bàn vấn đề
talk round|уговорить|thuyết phục
tear apart|раздирать|xé nát
tear off|оторвать|xé ra
tee off|начать / разозлить|bắt đầu / chọc giận
tell off a child|отругать ребёнка|mắng trẻ
test out an idea|проверить идею|thử ý tưởng
thaw out|оттаять|tan băng
thin out|поредеть|thưa dần
think over a offer|обдумать предложение|suy nghĩ đề nghị
think through|продумать|nghĩ kỹ
think up an excuse|придумать отговорку|bịa cớ
thrash out|выяснить до конца|bàn cho ra lẽ
throw away a chance|упустить шанс|bỏ lỡ cơ hội
throw in|добавить в придачу|thêm vào
throw off a cold|оправиться от простуды|khỏi cảm
throw out a idea|отвергнуть идею|bác ý
throw together a meal|наскоро приготовить|nấu vội
throw up a job|бросить работу|bỏ việc
tick away|тикать|trôi đi
tick off a list|отметить в списке|đánh dấu danh sách
tide over a crisis|пережить кризис|qua khủng hoảng
tidy up|прибрать|dọn dẹp
tie in|увязываться|ăn khớp
tie up loose ends|увязать концы|xử lý nốt
tighten up|ужесточить|siết chặt
tip off the police|предупредить полицию|báo cảnh sát
tip over|опрокинуться|lật đổ
tire out|измотать|làm kiệt sức
tone down criticism|смягчить критику|giảm lời chê
top up|долить / пополнить|đổ thêm / nạp thêm
toss out|выбросить|vứt đi
touch down on|приземлиться на|hạ cánh xuống
touch on a subject|затронуть тему|đề cập chủ đề
touch up|подправить|chỉnh lại
track down a person|разыскать человека|tìm ra người
trade in a car|сдать машину в зачёт|đổi xe cũ
trade on|спекулировать на|lợi dụng
trail off|затихнуть|nhỏ dần
trip over|споткнуться|vấp
trip up|подловить|bắt bẻ
trot out|ввернуть заезженное|lặp lại sáo rỗng
try on clothes|примерить одежду|mặc thử đồ
try out for|пробоваться на роль|thi tuyển
tuck in a child|уложить ребёнка|đắp chăn cho trẻ
tumble down|рухнуть|đổ sập
tune in|настроиться|bắt sóng
tune out|отключиться|không nghe
turn against|восстать против|quay sang chống
turn away from|отвернуться от|quay đi
turn down an offer|отклонить предложение|từ chối lời mời
turn in a report|сдать отчёт|nộp báo cáo
turn into a habit|войти в привычку|thành thói quen
turn off the road|свернуть с дороги|rẽ khỏi đường
turn on the light|включить свет|bật đèn
turn out well|удаться|hóa ra tốt
turn over a page|перевернуть страницу|lật trang
turn to someone|обратиться к кому-то|quay sang ai đó
turn up late|явиться с опозданием|đến muộn
type up|напечатать набело|đánh máy
urge on|подгонять|thúc giục
use up the milk|израсходовать молоко|dùng hết sữa
usher in|ознаменовать|mở đầu
vacuum up|пропылесосить|hút bụi
veer off|свернуть|đổi hướng
venture on|рискнуть|liều làm
verge on|граничить с|gần như
vie for|соперничать за|tranh giành
visit with|пообщаться|nói chuyện với
vote down|провалить голосованием|bác bỏ
vote in|избрать|bầu vào
wade through|продираться|lần qua
wait on a customer|обслужить клиента|phục vụ khách
wait up for|не ложиться в ожидании|thức đợi
wake up early|проснуться рано|dậy sớm
walk away from|уйти от|bỏ đi khỏi
walk in on|застать врасплох|bắt gặp
walk off with|унести|lấy đi
walk out on|бросить|bỏ rơi
warm to|проникнуться|dần thích
warm up food|разогреть еду|hâm đồ ăn
warn off|предостеречь|cảnh báo tránh
wash away|смыть|cuốn trôi
wash down|запить|uống kèm
wash out|смыться / отменить|phai / hủy vì mưa
wash up the dishes|помыть посуду|rửa bát đĩa
waste away|чахнуть|teo tóp
watch out for cars|беречься машин|coi chừng xe
watch over a baby|присмотреть за малышом|trông em bé
water down|разбавить|pha loãng
wave down|остановить взмахом|vẫy xe
wave off a idea|отмахнуться от идеи|gạt ý
wear away the stone|источить камень|mài mòn đá
wear down|измотать|làm mòn
wear off the effect|действие проходит|tác dụng mất
wear out shoes|сносить обувь|mòn giày
weed out candidates|отсеять кандидатов|loại ứng viên
weigh down|обременять|đè nặng
weigh in|вмешаться с мнением|nêu ý kiến
weigh on|тяготить|đè nặng lên
weigh out|отвесить|cân ra
weigh up the options|взвесить варианты|cân nhắc lựa chọn
while away the time|скоротать время|giết thời gian
whip up|наскоро приготовить / разжечь|làm vội / khơi dậy
win back trust|вернуть доверие|lấy lại lòng tin
win over the crowd|перетянуть толпу|thuyết phục đám đông
wind down|затихать / расслабиться|chậm lại / thư giãn
wind up a meeting|закончить собрание|kết thúc họp
wipe off the table|вытереть стол|lau bàn
wipe out a debt|списать долг|xóa nợ
wire up|подключить проводами|nối dây
wise up|образумиться|khôn ra
wish away|отмахнуться желанием|ước cho mất
wolf down|уплетать|ăn ngấu nghiến
work off a debt|отработать долг|làm trả nợ
work on a project|работать над проектом|làm dự án
work out the answer|вычислить ответ|tính ra đáp án
work up|развить / возбудить|gây dựng / kích động
worm out|выведать|moi ra
wrap up a deal|завершить сделку|chốt thỏa thuận
wring out|выжать|vắt
write down a name|записать имя|ghi tên
write off a car|списать машину|bỏ xe
write up a report|написать отчёт|viết báo cáo
yield to|уступить|nhường
zero in|прицелиться|nhắm trúng
zip up|застегнуть молнию|kéo khóa
zoom in on|приблизить|phóng vào
zone out during class|отключиться на уроке|mơ màng trong lớp
back up a file|сделать копию файла|sao lưu tệp
log in to the site|войти на сайт|đăng nhập trang
sign up for a class|записаться на курс|đăng ký lớp
set up a meeting|назначить встречу|sắp xếp cuộc họp
find out the truth|выяснить правду|tìm ra sự thật
give up smoking|бросить курить|bỏ hút thuốc
look forward to the trip|ждать поездку|mong chuyến đi
run out of time|время вышло|hết thời gian
get along with neighbors|ладить с соседями|hòa thuận với hàng xóm
put up with noise|терпеть шум|chịu tiếng ồn
come up with a plan|придумать план|nghĩ ra kế hoạch
break down on the road|сломаться в пути|hỏng giữa đường
check in at the hotel|зарегистрироваться в отеле|nhận phòng khách sạn
drop off a package|оставить посылку|gửi bưu kiện
fill out a form|заполнить бланк|điền mẫu đơn
grow up in a city|вырасти в городе|lớn lên ở thành phố
hand in homework|сдать домашку|nộp bài tập
keep up with the news|следить за новостями|theo kịp tin
make up a story|выдумать историю|bịa chuyện
point out the exit|указать выход|chỉ lối ra
show up on time|прийти вовремя|có mặt đúng giờ
take off your shoes|сними обувь|cởi giày
turn down the offer|отклонить предложение|từ chối lời đề nghị
wake up at seven|проснуться в семь|thức dậy lúc bảy giờ
work out at the gym|тренироваться в зале|tập ở phòng gym
calm down please|успокойся, пожалуйста|bình tĩnh lại
figure out the problem|разобраться в проблеме|tìm ra vấn đề
get rid of waste|избавиться от мусора|loại bỏ rác
look after the dog|присмотреть за собакой|trông con chó
put on a coat|надеть пальто|mặc áo khoác
take part in a game|участвовать в игре|tham gia trò chơi
throw away the trash|выбросить мусор|vứt rác
try on this shirt|примерь эту рубашку|mặc thử áo này
watch out for ice|берегись льда|coi chừng băng
write down the address|запиши адрес|ghi địa chỉ
call off the meeting|отменить встречу|hủy cuộc họp
carry out a task|выполнить задачу|thực hiện nhiệm vụ
catch up with a friend|догнать друга|bắt kịp bạn
deal with a customer|разобраться с клиентом|xử lý khách hàng
end up late|в итоге опоздать|cuối cùng thì muộn
get over a cold|оправиться от простуды|khỏi cảm
go through the papers|просмотреть бумаги|xem giấy tờ
hold on a minute|подожди минуту|khoan một phút
let down a friend|подвести друга|làm bạn thất vọng
pay back the loan|вернуть заём|trả khoản vay
set off early|выехать рано|khởi hành sớm
sort out the mess|разобрать беспорядок|giải quyết đống lộn xộn
stand for a idea|означать идею|đại diện cho ý
stick to the rules|держаться правил|giữ đúng quy tắc
turn into a problem|превратиться в проблему|biến thành vấn đề
use up the battery|разрядить батарею|dùng hết pin
break up with someone|расстаться с кем-то|chia tay ai đó
bring up a child|воспитать ребёнка|nuôi dạy trẻ
come across an old photo|натолкнуться на старое фото|tình cờ thấy ảnh cũ
cut down on sugar|сократить сахар|cắt giảm đường
fall apart under stress|развалиться от стресса|tan rã vì căng thẳng
get away for the weekend|уехать на выходные|đi nghỉ cuối tuần
give in to pressure|уступить давлению|nhượng bộ áp lực
go ahead with the plan|приступать к плану|tiến hành kế hoạch
hang out with friends|тусоваться с друзьями|đi chơi với bạn
keep on trying|продолжать пытаться|cứ tiếp tục thử
look up to a teacher|уважать учителя|ngưỡng mộ thầy
move in together|съехаться|dọn đến ở cùng
own up to a mistake|признать ошибку|thú nhận lỗi
pick on a classmate|придираться к однокласснику|bắt nạt bạn học
run into an old friend|встретить старого друга|tình cờ gặp bạn cũ
settle down in a town|осесть в городе|ổn định ở thị trấn
show off a skill|показать умение|khoe kỹ năng
slow down the car|замедлить машину|giảm tốc xe
speak up in class|высказаться на уроке|nói trong lớp
take over the shop|взять магазин на себя|tiếp quản cửa hàng
throw up after a meal|стошнить после еды|nôn sau bữa ăn
turn out to be true|оказаться правдой|hóa ra là đúng
walk out of the room|выйти из комнаты|bỏ ra khỏi phòng
warm up before sport|размяться перед спортом|khởi động trước khi tập
wear out quickly|быстро изнашиваться|mau mòn
wipe out the board|стереть доску|xóa bảng
wrap up the gift|завернуть подарок|gói quà
account for the delay|объяснить задержку|giải thích sự chậm trễ
act on advice|последовать совету|làm theo lời khuyên
add up the bill|сложить счёт|cộng hóa đơn
agree with the idea|согласиться с идеей|đồng ý ý tưởng
apply for a job|подавать на работу|nộp đơn xin việc
ask for help|просить о помощи|xin giúp
believe in yourself|верить в себя|tin vào bản thân
belong to a club|состоять в клубе|thuộc câu lạc bộ
care for the sick|ухаживать за больными|chăm người ốm
come down with the flu|заболеть гриппом|mắc cúm
consist of three parts|состоять из трёх частей|gồm ba phần
cope with stress|справляться со стрессом|đối phó căng thẳng
count on a friend|рассчитывать на друга|trông cậy vào bạn
depend on the weather|зависеть от погоды|phụ thuộc thời tiết
do without coffee|обойтись без кофе|không cần cà phê
dream of traveling|мечтать о путешествиях|mơ đi du lịch
engage in sport|заниматься спортом|chơi thể thao
face up to the truth|признать правду|đối mặt sự thật
fall behind the class|отстать от класса|tụt lại lớp
feel up to a walk|быть в силах гулять|đủ sức đi dạo
focus on the task|сосредоточиться на задаче|tập trung nhiệm vụ
get across an idea|донести мысль|truyền đạt ý
get ahead in life|преуспеть в жизни|vươn lên trong đời
insist on quality|настаивать на качестве|khăng khăng chất lượng
lead to success|вести к успеху|dẫn đến thành công
live up to expectations|оправдать ожидания|đáp ứng kỳ vọng
look into the case|расследовать дело|xem xét vụ việc
rely on public transport|полагаться на транспорт|dựa vào phương tiện công cộng
result in a delay|привести к задержке|dẫn tới sự chậm trễ
see to the details|позаботиться о деталях|lo chi tiết
stick up for a friend|заступиться за друга|bảo vệ bạn
sum up the lesson|подвести итог урока|tóm tắt bài học
take down the notes|записать конспект|ghi chép
talk into buying|уговорить купить|thuyết phục mua
think ahead about money|думать о деньгах заранее|nghĩ trước về tiền
turn down the music|сделай музыку тише|vặn nhỏ nhạc
work out a solution|найти решение|tìm giải pháp
