spoonful|ложка|một thìa
tutor|репетитор|gia sư
librarian|библиотекарь|thủ thư
translator|переводчик|phiên dịch
interpreter|устный переводчик|thông dịch viên
guide|гид|hướng dẫn viên
farmer|фермер|nông dân
fisherman|рыбак|ngư dân
miner|шахтёр|thợ mỏ
mechanic|механик|thợ máy
driver|водитель|tài xế
cashier job|работа кассира|việc thu ngân
salesperson|продавец|nhân viên bán hàng
security guard|охранник|bảo vệ
cleaner|уборщица|người dọn dẹp
nanny|няня|bảo mẫu
babysitter|бебиситтер|người trông trẻ
caregiver|сиделка|người chăm sóc
doctor on duty|дежурный врач|bác sĩ trực
midwife|акушерка|nữ hộ sinh
dentist appointment|запись к стоматологу|lịch nha sĩ
optician|оптик|người đo mắt
veterinarian|ветеринар|bác sĩ thú y
pharmacist on duty|дежурный фармацевт|dược sĩ trực
psychologist|психолог|nhà tâm lý
therapist|терапевт|nhà trị liệu
coach|тренер|huấn luyện viên
referee|судья на поле|trọng tài
athlete|спортсмен|vận động viên
player|игрок|cầu thủ
fan|болельщик|người hâm mộ
spectator|зритель|khán giả
audience|аудитория|khán giả
crowd|толпа|đám đông
queue of people|очередь людей|hàng người
stranger|незнакомец|người lạ
acquaintance|знакомый|người quen
colleague at work|коллега по работе|đồng nghiệp
roommate|сосед по комнате|bạn cùng phòng
classmate from school|одноклассник|bạn học
teammate|товарищ по команде|đồng đội
opponent|соперник|đối thủ
partner|партнёр|đối tác
spouse|супруг|vợ hoặc chồng
fiancé|жених|vị hôn phu
fiancée|невеста|vị hôn thê
widow|вдова|góa phụ
widower|вдовец|góa phụ nam
orphan|сирота|trẻ mồ côi
toddler|малыш|trẻ chập chững
teenager|подросток|thiếu niên
adult person|взрослый человек|người lớn
elder|пожилой|người cao tuổi
generation|поколение|thế hệ
ancestor|предок|tổ tiên
descendant|потомок|hậu duệ
relative by marriage|родственник по браку|họ hàng bên vợ chồng
in-law|свойственник|thông gia
stepfather|отчим|bố dượng
stepmother|мачеха|mẹ kế
stepson|пасынок|con trai riêng
stepdaughter|падчерица|con gái riêng
twin|близнец|sinh đôi
triplet|тройня|sinh ba
only child|единственный ребёнок|con một
sibling|брат или сестра|anh chị em
nephew|племянник|cháu trai
niece|племянница|cháu gái
godparent|крёстный|cha mẹ đỡ đầu
namesake|тёзка|người cùng tên
nickname|прозвище|biệt danh
surname|фамилия|họ
first name|имя|tên
middle name|второе имя|tên đệm
maiden name|девичья фамилия|họ thời con gái
signature name|имя в подписи|tên ký
ID card|удостоверение|thẻ căn cước
birth certificate|свидетельство о рождении|giấy khai sinh
driver license|водительские права|bằng lái
nationality|гражданство|quốc tịch
residence|место жительства|nơi cư trú
hometown|родной город|quê hương
address line|строка адреса|dòng địa chỉ
postal code|почтовый индекс|mã bưu chính
phone number|номер телефона|số điện thoại
email address|адрес почты|địa chỉ email
date of birth|дата рождения|ngày sinh
age|возраст|tuổi
gender|пол|giới tính
occupation|род занятий|nghề nghiệp
marital status|семейное положение|tình trạng hôn nhân
single|холост|độc thân
married|женат / замужем|đã kết hôn
divorced|в разводе|đã ly hôn
engaged|помолвлен|đã đính hôn
anniversary|годовщина|kỷ niệm
wedding|свадьба|đám cưới
honeymoon|медовый месяц|tuần trăng mật
funeral|похороны|đám tang
ceremony|церемония|lễ
celebration|празднование|lễ kỷ niệm
invitation|приглашение|thiệp mời
guest list|список гостей|danh sách khách
gift|подарок|quà
wrapping paper|обёрточная бумага|giấy gói
ribbon|лента|ruy băng
balloon|воздушный шар|bóng bay
candle on a cake|свеча на торте|nến trên bánh
birthday cake|торт ко дню рождения|bánh sinh nhật
toast|тост|lời chúc
cheers|ура|chúc mừng
applause|аплодисменты|vỗ tay
firework|фейерверк|pháo hoa
parade|парад|diễu hành
festival|фестиваль|lễ hội
carnival|карнавал|hội hóa trang
fair|ярмарка|hội chợ
market stall|лоток|quầy hàng
vendor|продавец на рынке|người bán
bargain price|выгодная цена|giá hời
receipt of payment|квитанция|biên lai
change purse|кошелёк для мелочи|ví tiền lẻ
tip|чаевые|tiền tip
service charge|плата за обслуживание|phí phục vụ
menu|меню|thực đơn
appetizer|закуска|món khai vị
main course|основное блюдо|món chính
dessert|десерт|món tráng miệng
side dish|гарнир|món phụ
soup|суп|súp
salad|салат|rau trộn
sauce|соус|nước sốt
dressing|заправка|nước trộn
spice|специя|gia vị
herb|трава пряная|rau thơm
salt|соль|muối
pepper|перец|hạt tiêu
sugar bowl|сахарница|bát đường
vinegar|уксус|giấm
oil|масло растительное|dầu ăn
butter|сливочное масло|bơ
margarine|маргарин|bơ thực vật
cheese|сыр|phô mai
yogurt|йогурт|sữa chua
cream dairy|сливки|kem tươi
ice cream scoop|шарик мороженого|viên kem
honey|мёд|mật ong
jam|варенье|mứt
peanut butter|арахисовая паста|bơ đậu phộng
bread loaf|буханка|ổ bánh mì
bun|булочка|bánh bao nhỏ
croissant|круассан|bánh sừng bò
bagel|бублик|bánh vòng
cereal|хлопья|ngũ cốc
oatmeal|овсянка|cháo yến mạch
rice bowl|миска риса|bát cơm
noodle|лапша|mì
pasta|паста|mì Ý
dumpling|пельмень|bánh bao
pancake|блин|bánh kếp
waffle|вафля|bánh waffle
omelet|омлет|trứng ốp lết
scrambled eggs|яичница-болтунья|trứng bác
boiled egg|варёное яйцо|trứng luộc
fried egg|глазунья|trứng chiên
bacon|бекон|thịt xông khói
sausage|сосиска|xúc xích
ham|ветчина|giăm bông
steak|стейк|bít tết
chicken breast|куриная грудка|ức gà
pork|свинина|thịt lợn
beef|говядина|thịt bò
lamb chop|баранья отбивная|sườn cừu
minced meat|фарш|thịt băm
tofu|тофу|đậu phụ
bean|фасоль|đậu
lentil|чечевица|đậu lăng
chickpea|нут|đậu gà
pea|горох|đậu Hà Lan
corn|кукуруза|ngô
potato|картофель|khoai tây
sweet potato|батат|khoai lang
carrot|морковь|cà rốt
onion|лук|hành
garlic|чеснок|tỏi
ginger|имбирь|gừng
cabbage|капуста|bắp cải
lettuce|салат-латук|xà lách
spinach|шпинат|rau bina
broccoli|брокколи|bông cải xanh
cauliflower|цветная капуста|súp lơ trắng
cucumber|огурец|dưa chuột
tomato|помидор|cà chua
pepper vegetable|сладкий перец|ớt chuông
chili|перец чили|ớt
eggplant|баклажан|cà tím
zucchini|кабачок|bí ngòi
pumpkin|тыква|bí đỏ
mushroom|гриб|nấm
olive|оливка|ô liu
avocado|авокадо|bơ trái
lemon|лимон|chanh vàng
lime|лайм|chanh xanh
orange fruit|апельсин|cam
grapefruit|грейпфрут|bưởi chùm
apple fruit|яблоко|táo
pear|груша|lê
peach|персик|đào
plum|слива|mận
cherry|вишня|anh đào
strawberry|клубника|dâu tây
blueberry|черника|việt quất
raspberry|малина|mâm xôi
grape|виноград|nho
watermelon|арбуз|dưa hấu
melon|дыня|dưa lưới
pineapple|ананас|dứa
mango|манго|xoài
banana|банан|chuối
coconut|кокос|dừa
papaya|папайя|đu đủ
kiwi|киви|kiwi
pomegranate|гранат|lựu
fig|инжир|sung
date fruit|финик|chà là
nut|орех|hạt
almond|миндаль|hạnh nhân
walnut|грецкий орех|óc chó
peanut|арахис|đậu phộng
cashew|кешью|hạt điều
hazelnut|фундук|hạt phỉ
pistachio|фисташка|hạt dẻ cười
seed mix|смесь семян|hỗn hợp hạt
raisin|изюм|nho khô
chocolate|шоколад|sô cô la
candy|конфета|kẹo
cookie|печенье|bánh quy
cake|торт|bánh ngọt
pie|пирог|bánh nướng
biscuit|бисквит|bánh quy bơ
donut|пончик|bánh rán vòng
muffin|маффин|bánh muffin
brownie|брауни|bánh brownie
pudding|пудинг|bánh pudding
custard|заварной крем|kem trứng
whipped cream|взбитые сливки|kem tươi đánh
sprinkle|посыпка|cốm đường
frosting|глазурь|lớp kem phủ
filling of a pie|начинка|nhân bánh
crust|корка|vỏ bánh
slice of bread|ломтик хлеба|lát bánh mì
toast bread|тост|bánh mì nướng
sandwich|бутерброд|bánh mì kẹp
hamburger|гамбургер|bánh hamburger
hot dog|хот-дог|bánh mì xúc xích
pizza|пицца|pizza
sushi|суши|sushi
ramen|рамен|mì ramen
pho|фо|phở
spring roll|спринг-ролл|chả giò
dumpling Asian|димсам|há cảo
curry|карри|cà ri
stew|рагу|món hầm
roast|жаркое|món quay
grill|гриль|nướng
fried rice|жареный рис|cơm chiên
noodle soup|суп с лапшой|mì nước
broth|бульон|nước dùng
stock|бульон основа|nước hầm
gravy|подливка|nước thịt
ketchup|кетчуп|tương cà
mustard|горчица|mù tạt
mayonnaise|майонез|sốt mayonnaise
soy sauce|соевый соус|nước tương
fish sauce|рыбный соус|nước mắm
chili sauce|острый соус|tương ớt
vinegar bottle|бутылка уксуса|chai giấm
olive oil|оливковое масло|dầu ô liu
cooking oil|растительное масло|dầu ăn
flour|мука|bột mì
sugar pack|пачка сахара|gói đường
baking powder|разрыхлитель|bột nở
yeast|дрожжи|men
vanilla|ваниль|vani
cinnamon|корица|quế
recipe|рецепт|công thức
ingredient|ингредиент|nguyên liệu
portion|порция|khẩu phần
appetite|аппетит|cảm giác ngon miệng
calorie|калория|calo
nutrition|питание|dinh dưỡng
protein|белок|chất đạm
carbohydrate|углевод|tinh bột
fat|жир|chất béo
fiber|клетчатка|chất xơ
vitamin C|витамин C|vitamin C
mineral|минерал|khoáng chất
organic food|органическая еда|thực phẩm hữu cơ
vegetarian|вегетарианец|người ăn chay
vegan|веган|người thuần chay
allergy to nuts|аллергия на орехи|dị ứng hạt
spicy food|острая еда|đồ ăn cay
bland food|пресная еда|đồ ăn nhạt
raw|сырой|sống
ripe|спелый|chín
rotten|гнилой|thối
fresh|свежий|tươi
frozen|замороженный|đông lạnh
canned|консервированный|đóng hộp
leftover|остатки еды|đồ ăn thừa
snack|перекус|đồ ăn vặt
picnic|пикник|dã ngoại
barbecue|барбекю|tiệc nướng
buffet|шведский стол|tiệc buffet
takeaway|еда на вынос|đồ mang về
delivery food|доставка еды|giao đồ ăn
tip jar|банка для чаевых|hũ tiền tip
table reservation|бронь стола|đặt bàn
waiter recommendation|рекомендация официанта|gợi ý của bồi bàn
bill split|разделить счёт|chia tiền
doggy bag|еда с собой|túi mang về
soft drink|газировка|nước ngọt
juice|сок|nước ép
smoothie|смузи|sinh tố
mineral water|минеральная вода|nước khoáng
sparkling water|газированная вода|nước có gas
still water|негазированная вода|nước suối
black coffee|чёрный кофе|cà phê đen
espresso|эспрессо|cà phê espresso
latte|латте|cà phê latte
cappuccino|капучино|cà phê cappuccino
tea bag|чайный пакетик|túi trà
green tea|зелёный чай|trà xanh
black tea|чёрный чай|trà đen
herbal tea|травяной чай|trà thảo mộc
hot chocolate|горячий шоколад|sô cô la nóng
milkshake|молочный коктейль|sữa lắc
beer|пиво|bia
wine|вино|rượu vang
champagne|шампанское|sâm panh
cocktail drink|коктейль|cocktail
whiskey|виски|whisky
vodka|водка|vodka
rum|ром|rum
soda|содовая|soda
ice cube|кубик льда|viên đá
straw|соломинка|ống hút
lemon slice|долька лимона|lát chanh
mint leaf|листок мяты|lá bạc hà
sugar cube|кубик сахара|viên đường
cream for coffee|сливки в кофе|kem cho cà phê
decaffeinated|без кофеина|không caffeine
refill|добавка|rót thêm
happy hour|счастливые часы|giờ giảm giá
last call|последний заказ|lượt gọi cuối
cheers with a glass|чокнуться|cụng ly
hangover|похмелье|dư vị rượu
sober|трезвый|tỉnh táo
tipsy|навеселе|hơi say
drunk|пьяный|say
designated driver|трезвый водитель|người lái xe không uống
tab|открытый счёт|hóa đơn chưa thanh toán
bar stool|барный стул|ghế quầy bar
counter|стойка|quầy
bartender recommendation|совет бармена|gợi ý người pha chế
wine list|винная карта|thực đơn rượu
cork|пробка|nút bần
vintage|урожай вина|niên vụ
dry wine|сухое вино|rượu vang khô
sweet wine|сладкое вино|rượu vang ngọt
red wine|красное вино|rượu vang đỏ
white wine|белое вино|rượu vang trắng
beer mug|пивная кружка|cốc bia
foam|пена|bọt
brewery|пивоварня|nhà máy bia
winery|винодельня|nhà rượu
distillery|винокурня|nhà chưng cất
tasting|дегустация|thưởng thức thử
pairing|сочетание|kết hợp món
course of a meal|подача блюда|lượt món
amuse bouche|закуска от шефа|món khai vị nhỏ
palate|вкус|vị giác
aroma|аромат|hương thơm
texture|текстура|kết cấu
crispy|хрустящий|giòn
tender|нежный|mềm
juicy|сочный|mọng nước
bitter|горький|đắng
sour|кислый|chua
salty|солёный|mặn
sweet taste|сладкий вкус|vị ngọt
umami|умами|vị ngọt thịt
bland taste|пресный вкус|vị nhạt
overcooked|переваренный|nấu quá
undercooked|недоваренный|chưa chín
medium rare|средней прожарки|tái vừa
well done meat|хорошо прожаренное|chín kỹ
rare steak|стейк с кровью|bít tết tái
grilled fish|рыба на гриле|cá nướng
steamed vegetables|овощи на пару|rau hấp
stir fry|обжарка в воке|xào
deep fry|фритюр|chiên ngập dầu
bake|запекать|nướng lò
boil|кипятить|luộc
simmer|тушить на медленном огне|hầm nhỏ lửa
roast in the oven|жарить в духовке|nướng lò
marinate|мариновать|ướp
season the dish|приправить блюдо|nêm món
taste the soup|попробовать суп|nếm súp
serve hot|подавать горячим|dọn nóng
serve cold|подавать холодным|dọn lạnh
leftovers box|контейнер с остатками|hộp đồ thừa
food waste|пищевые отходы|rác thực phẩm
compost|компост|phân ủ
recycling bin|контейнер для переработки|thùng tái chế
trash can|мусорное ведро|thùng rác
garbage truck|мусоровоз|xe rác
landfill|свалка|bãi rác
plastic bag|пластиковый пакет|túi nilon
paper bag|бумажный пакет|túi giấy
reusable bag|многоразовая сумка|túi dùng lại
bottle cap|крышка бутылки|nắp chai
can of soda|банка газировки|lon nước ngọt
jar|банка стеклянная|lọ
lid|крышка|nắp
wrapper|обёртка|vỏ bọc
label|этикетка|nhãn
expiration date|срок годности|hạn sử dụng
best before|годен до|dùng tốt nhất trước
batch number|номер партии|số lô
ingredient list|список ингредиентов|danh sách thành phần
nutrition label|маркировка питания|nhãn dinh dưỡng
allergen|аллерген|chất gây dị ứng
gluten|глютен|gluten
lactose|лактоза|lactose
preservative|консервант|chất bảo quản
additive|добавка|phụ gia
artificial flavor|искусственный ароматизатор|hương liệu nhân tạo
organic label|метка органик|nhãn hữu cơ
fair trade|справедливая торговля|thương mại công bằng
local produce|местные продукты|nông sản địa phương
farmers market|фермерский рынок|chợ nông sản
grocery store|продуктовый магазин|cửa hàng tạp hóa
supermarket aisle|проход супермаркета|lối siêu thị
checkout|касса на выходе|quầy thanh toán
self checkout|касса самообслуживания|quầy tự thanh toán
shopping list|список покупок|danh sách mua sắm
coupon|купон|phiếu giảm giá
sale price|цена со скидкой|giá khuyến mãi
full price|полная цена|giá gốc
tax included|включая налог|đã gồm thuế
out of stock|нет в наличии|hết hàng
in stock|в наличии|còn hàng
backorder|предзаказ при отсутствии|đặt hàng chờ
delivery time|срок доставки|thời gian giao
shipping fee|плата за доставку|phí vận chuyển
tracking number|номер отслеживания|mã vận đơn
parcel locker|постамат|tủ nhận hàng
signature on delivery|подпись при получении|ký khi nhận
return policy|правила возврата|chính sách đổi trả
exchange receipt|чек на обмен|hóa đơn đổi hàng
gift receipt|чек без цены|hóa đơn quà
store credit|кредит магазина|phiếu mua hàng
loyalty points|баллы лояльности|điểm thưởng
membership|членство|tư cách thành viên
opening hours|часы работы|giờ mở cửa
closed on Sunday|закрыто по воскресеньям|đóng cửa chủ nhật
public holiday|государственный праздник|ngày lễ
weekend sale|распродажа на выходных|giảm giá cuối tuần
clearance|распродажа остатков|xả hàng
window display|витрина|tủ kính trưng bày
mannequin|манекен|ma nơ canh
fitting|примерка|buổi thử
alteration|переделка одежды|sửa quần áo
hem the pants|укоротить брюки|lên gấu quần
let out a seam|выпустить шов|nới đường may
take in the waist|ушить талию|thu eo
dry clean only|только химчистка|chỉ giặt khô
hand wash|ручная стирка|giặt tay
machine wash|машинная стирка|giặt máy
tumble dry|сушить в машине|sấy máy
do not bleach|не отбеливать|không tẩy
iron on low|гладить слабо|ủi nhiệt thấp
shrink in the wash|садится при стирке|co khi giặt
color run|линяет|ra màu
fabric softener|ополаскиватель|nước xả vải
stain remover|пятновыводитель|chất tẩy vết
bleach|отбеливатель|nước tẩy
laundry detergent|стиральный порошок|bột giặt
dryer sheet|салфетка для сушки|giấy thơm máy sấy
lint|катышки|xơ vải
ironing|глажка|việc ủi
fold the clothes|сложить одежду|gấp quần áo
hang the shirt|повесить рубашку|treo áo
sort the laundry|рассортировать бельё|phân loại đồ giặt
whites|белое бельё|đồ trắng
colors load|цветное бельё|đồ màu
delicates|деликатные вещи|đồ mỏng
wool cycle|режим шерсти|chế độ len
spin cycle|отжим|vắt
rinse|полоскание|giũ
soak|замачивание|ngâm
wring|отжать|vắt tay
clothes horse|сушилка для белья|giá phơi
laundry room|прачечная|phòng giặt
shared laundry|общая прачечная|phòng giặt chung
detergent pod|капсула порошка|viên giặt
fabric freshener|освежитель ткани|xịt thơm vải
static|статическое электричество|điện tĩnh
wrinkled shirt|мятая рубашка|áo nhăn
pressed suit|отглаженный костюм|bộ vest đã ủi
shoeshine|чистка обуви|đánh giày
shoelace|шнурок|dây giày
insole|стелька|lót giày
heel of a shoe|каблук туфли|gót giày
sole of a shoe|подошва обуви|đế giày
boot polish|крем для обуви|xi đánh giày
umbrella stand|подставка для зонтов|giá ô
raincoat hook|крючок для плаща|móc áo mưa
muddy boots|грязные сапоги|ủng dính bùn
doormat welcome|коврик с приветствием|thảm chào
spare key|запасной ключ|chìa khóa dự phòng
keychain|брелок|móc khóa
lockbox|сейф для ключей|hộp khóa
intercom|домофон|chuông cửa có đàm thoại
elevator button|кнопка лифта|nút thang máy
stairwell|лестничная клетка|cầu thang bộ
handrail|поручень|tay vịn
fire escape|пожарная лестница|cầu thang thoát hiểm
roof terrace|терраса на крыше|sân thượng
balcony chair|стул на балконе|ghế ban công
flower pot|цветочный горшок|chậu hoa
watering can|лейка|bình tưới
garden hose|садовый шланг|vòi tưới
lawn|газон|bãi cỏ
hedge|живая изгородь|hàng rào cây
fence|забор|hàng rào
gate of a yard|калитка|cổng sân
shed|сарай|nhà kho nhỏ
greenhouse|теплица|nhà kính
compost bin|компостер|thùng ủ
wheelbarrow|тачка|xe rùa
rake|грабли|cào
shovel|лопата|xẻng
pruning shears|секатор|kéo cắt cành
lawn mower|газонокосилка|máy cắt cỏ
sprinkler system|система полива|hệ thống tưới
seedling|саженец|cây con
bulb plant|луковица|củ giống
weed|сорняк|cỏ dại
fertilizer|удобрение|phân bón
pesticide|пестицид|thuốc trừ sâu
harvest basket|корзина урожая|giỏ thu hoạch
ripe tomato|спелый помидор|cà chua chín
herb garden|сад трав|vườn rau thơm
rose bush|куст роз|bụi hồng
tulip|тюльпан|hoa tulip
daisy|ромашка|hoa cúc
sunflower|подсолнух|hoa hướng dương
orchid|орхидея|hoa lan
lily|лилия|hoa loa kèn
lotus|лотос|hoa sen
bamboo|бамбук|tre
palm tree|пальма|cây cọ
pine|сосна|cây thông
oak|дуб|cây sồi
birch|берёза|cây bạch dương
maple|клён|cây phong
willow|ива|cây liễu
leaf|лист|lá
branch of a tree|ветка|cành cây
trunk of a tree|ствол|thân cây
root|корень|rễ
bark|кора|vỏ cây
thorn|шип|gai
petal|лепесток|cánh hoa
pollen|пыльца|phấn hoa
nectar|нектар|mật hoa
hive|улей|tổ ong
honeycomb|соты|tầng ong
beehive|пчелиный улей|tổ ong mật
anthill|муравейник|tổ kiến
nest|гнездо|tổ chim
feather|перо|lông vũ
wing|крыло|cánh
beak|клюв|mỏ
claw|коготь|vuốt
paw|лапа|chân thú
tail|хвост|đuôi
fur|мех|lông thú
whisker|ус животного|ria mèo
mane|грива|bờm
hoof|копыто|móng guốc
horn of an animal|рог|sừng
tusk|бивень|ngà
scale of a fish|чешуя|vảy cá
fin|плавник|vây
gill|жабра|mang cá
shell of a turtle|панцирь|mai rùa
venom|яд|nọc độc
sting|жало|nọc chích
web of a spider|паутина|mạng nhện
cocoon|кокон|kén
larva|личинка|ấu trùng
pupa|куколка|nhộng
caterpillar|гусеница|sâu bướm
flock|стая|đàn
herd|стадо|đàn gia súc
pack of wolves|стая волков|bầy sói
swarm|рой|đàn ong
colony|колония|tập đoàn
habitat|среда обитания|môi trường sống
extinction|вымирание|tuyệt chủng
endangered|под угрозой|nguy cấp
wildlife|дикая природа|động vật hoang dã
nature reserve|заповедник|khu bảo tồn
national park|национальный парк|vườn quốc gia
trail|тропа|đường mòn
campsite|кемпинг|nơi cắm trại
tent|палатка|lều
sleeping bag|спальный мешок|túi ngủ
campfire|костёр|lửa trại
flashlight beam|луч фонаря|tia đèn pin
compass direction|направление по компасу|hướng la bàn
map scale|масштаб карты|tỷ lệ bản đồ
north|север|hướng bắc
south|юг|hướng nam
east|восток|hướng đông
west|запад|hướng tây
sunrise|восход|bình minh
sunset|закат|hoàng hôn
dawn|рассвет|rạng đông
dusk|сумерки|chạng vạng
midnight hour|полночь|nửa đêm
noon hour|полдень|giữa trưa
twilight|сумерки|hoàng hôn nhá nhem
season|время года|mùa
spring season|весна|mùa xuân
summer|лето|mùa hè
autumn|осень|mùa thu
winter|зима|mùa đông
solstice|солнцестояние|chí tuyến
equinox|равноденствие|phân
calendar month|календарный месяц|tháng dương lịch
leap year|високосный год|năm nhuận
decade|десятилетие|thập kỷ
century|век|thế kỷ
millennium|тысячелетие|thiên niên kỷ
era|эпоха|kỷ nguyên
ancient|древний|cổ đại
medieval|средневековый|trung cổ
modern era|современная эпоха|thời hiện đại
history book|книга по истории|sách lịch sử
artifact|артефакт|cổ vật
ruin|руины|tàn tích
archaeology|археология|khảo cổ
museum|музей|bảo tàng
gallery|галерея|phòng trưng bày
exhibit|экспонат|hiện vật
ticket office|касса билетов|quầy vé
guided tour|экскурсия с гидом|tour có hướng dẫn
audio guide|аудиогид|hướng dẫn âm thanh
souvenir|сувенир|quà lưu niệm
postcard|открытка|bưu thiếp
guidebook|путеводитель|sách hướng dẫn
itinerary|маршрут поездки|lịch trình
suitcase tag|бирка чемодана|thẻ vali
lost luggage|потерянный багаж|hành lý thất lạc
customs form|таможенная декларация|tờ khai hải quan
duty free|дьюти-фри|miễn thuế
exchange rate|курс обмена|tỷ giá
currency|валюта|tiền tệ
foreign cash|иностранная наличность|tiền mặt ngoại tệ
traveler check|дорожный чек|séc du lịch
travel insurance|туристическая страховка|bảo hiểm du lịch
vaccination|прививка|tiêm chủng
visa application|заявление на визу|đơn xin thị thực
embassy|посольство|đại sứ quán
consulate|консульство|lãnh sự quán
border|граница|biên giới
checkpoint|контрольно-пропускной пункт|trạm kiểm soát
stamp in a passport|штамп в паспорте|dấu hộ chiếu
overstay|превышение срока|ở quá hạn
deportation|депортация|trục xuất
citizenship|гражданство|quốc tịch
refugee|беженец|người tị nạn
immigrant|иммигрант|người nhập cư
tourist|турист|khách du lịch
local resident|местный житель|cư dân địa phương
host|хозяин|chủ nhà đón khách
guest room|комната для гостей|phòng khách
homestay|проживание в семье|ở nhà dân
hostel|хостел|nhà nghỉ tập thể
hotel lobby|вестибюль отеля|sảnh khách sạn
reception desk|стойка регистрации|quầy lễ tân
room key|ключ от номера|chìa khóa phòng
single room|одноместный номер|phòng đơn
double room|двухместный номер|phòng đôi
suite|люкс|phòng hạng sang
wake-up call|звонок-побудка|gọi báo thức
minibar|мини-бар|tủ lạnh mini
room service|обслуживание в номере|phục vụ tại phòng
housekeeping|уборка номера|dọn phòng
checkout time|время выезда|giờ trả phòng
late checkout|поздний выезд|trả phòng muộn
reservation number|номер брони|mã đặt phòng
cancellation|отмена брони|hủy đặt
no-show|неявка|không đến
deposit for a room|предоплата за номер|đặt cọc phòng
view from the window|вид из окна|view từ cửa sổ
sea view|вид на море|view biển
city view|вид на город|view thành phố
balcony room|номер с балконом|phòng có ban công
air conditioning|кондиционер|máy lạnh
heating|отопление|sưởi
thermostat|термостат|bộ điều nhiệt
blanket extra|дополнительное одеяло|chăn thêm
pillow menu|выбор подушек|thực đơn gối
blackout curtain|затемняющая штора|rèm cản sáng
safe in the room|сейф в номере|két sắt
hair dryer|фен|máy sấy tóc
iron in the closet|утюг в шкафу|bàn là trong tủ
laundry service|прачечная отеля|dịch vụ giặt ủi
concierge|консьерж|nhân viên hỗ trợ
bellhop|носильщик|người xách vali
tip for service|чаевые за услугу|tiền tip phục vụ
complaint form|бланк жалобы|mẫu khiếu nại
satisfaction|удовлетворение|sự hài lòng
review of a hotel|отзыв об отеле|đánh giá khách sạn
star rating|звёздность|hạng sao
budget hotel|недорогой отель|khách sạn giá rẻ
luxury hotel|роскошный отель|khách sạn sang
resort|курорт|khu nghỉ dưỡng
spa|спа|spa
sauna|сауна|phòng xông hơi
swimming pool|бассейн|bể bơi
lifeguard|спасатель|nhân viên cứu hộ
sun lounger|шезлонг|ghế tắm nắng
beach towel|пляжное полотенце|khăn tắm biển
sunscreen bottle|флакон крема|chai kem chống nắng
swimsuit|купальник|đồ bơi
snorkel|трубка для ныряния|ống thở
fins|ласты|chân vịt
surfboard|доска для сёрфинга|ván lướt sóng
diving mask|маска для ныряния|mặt nạ lặn
life ring|спасательный круг|phao tròn
wave height|высота волны|độ cao sóng
tide chart|таблица приливов|bảng thủy triều
seaside town|приморский город|thị trấn ven biển
promenade|набережная для прогулок|đường dạo
pier walk|прогулка по пирсу|đi dạo cầu tàu
souvenir shop|магазин сувениров|cửa hàng lưu niệm
ice cream stand|лоток с мороженым|quầy kem
street musician|уличный музыкант|nghệ sĩ đường phố
street food|уличная еда|đồ ăn đường phố
night market|ночной рынок|chợ đêm
lantern|фонарь|đèn lồng
festival crowd|праздничная толпа|đám đông lễ hội
traditional costume|традиционный костюм|trang phục truyền thống
folk dance|народный танец|múa dân gian
folk song|народная песня|dân ca
instrument|музыкальный инструмент|nhạc cụ
guitar|гитара|đàn guitar
piano|пианино|đàn piano
violin|скрипка|đàn violin
drum|барабан|trống
flute|флейта|sáo
trumpet|труба музыкальная|kèn trumpet
saxophone|саксофон|kèn saxophone
cello|виолончель|đàn cello
harp|арфа|đàn hạc
accordion|аккордеон|đàn accordion
harmonica|губная гармошка|kèn harmonica
microphone stand|стойка микрофона|chân micro
sheet music|ноты|bản nhạc
melody|мелодия|giai điệu
rhythm|ритм|nhịp
beat|такт|nhịp điệu
chord|аккорд|hợp âm
lyrics|текст песни|lời bài hát
chorus|припев|điệp khúc
verse of a song|куплет|khổ thơ
concert|концерт|buổi hòa nhạc
rehearsal|репетиция|buổi tập
stage|сцена|sân khấu
curtain call|выход на поклон|lần chào cuối
audience seat|место в зале|ghế khán giả
intermission|антракт|giờ giải lao
program of a show|программка|chương trình buổi diễn
standing ovation|овация стоя|vỗ tay đứng
encore|на бис|hát lại
soundtrack|саундтрек|nhạc phim
genre|жанр|thể loại
classical music|классическая музыка|nhạc cổ điển
jazz|джаз|nhạc jazz
rock music|рок|nhạc rock
pop music|поп|nhạc pop
folk music|народная музыка|nhạc dân gian
opera|опера|opera
ballet|балет|ba lê
theater|театр|nhà hát
play on stage|пьеса|vở kịch
script|сценарий|kịch bản
role|роль|vai diễn
costume designer|художник по костюмам|người thiết kế trang phục
makeup artist|гримёр|nghệ sĩ trang điểm
spotlight|прожектор|đèn sân khấu
backstage|за кулисами|hậu trường
box office|театральная касса|quầy vé nhà hát
matinee|дневной спектакль|suất chiều
evening show|вечерний сеанс|suất tối
subtitle|субтитры|phụ đề
dubbing|дубляж|lồng tiếng
documentary|документальный фильм|phim tài liệu
cartoon|мультфильм|phim hoạt hình
series|сериал|phim bộ
episode|серия|tập
season of a show|сезон сериала|mùa phim
trailer|трейлер|đoạn giới thiệu
credits|титры|đoạn danh đề
director cut|режиссёрская версия|bản đạo diễn
plot|сюжет|cốt truyện
character|персонаж|nhân vật
hero|герой|anh hùng
villain|злодей|nhân vật phản diện
